,angle,torque
0,27.41,13.7
1,27.48,14.8
2,27.53,15.5
3,27.58,16.7
4,27.61,17.4
5,27.65,18.3
6,27.68,19.4
7,27.71,20.4
8,27.73,20.9
9,27.75,21.7
10,27.78,22.7
11,27.81,23.4
12,27.98,29.0
13,28.01,30.1
14,28.04,31.1
15,28.06,32.2
16,28.1,33.4
17,28.12,33.9
18,28.15,35.0
19,28.17,35.6
20,28.19,36.8
21,28.22,37.7
22,28.25,38.7
23,28.28,39.8
24,28.3,40.6
25,28.33,41.7
26,28.35,42.7
27,28.37,43.7
28,28.39,44.2
29,28.41,45.1
30,28.43,46.1
31,28.46,47.0
32,28.49,47.9
33,28.53,49.4
34,28.56,50.3
35,28.58,51.6
36,28.59,52.2
37,28.61,52.9
38,28.63,53.4
39,28.65,54.3
40,28.68,55.1
41,28.71,55.8
42,28.74,57.0
43,28.77,57.9
44,28.8,59.2
45,28.84,60.2
46,28.86,61.4
47,28.89,62.5
48,28.91,62.9
49,28.93,63.8
50,28.95,64.4
51,28.98,65.3
52,28.99,65.7
53,29.02,66.6
54,29.05,67.2
55,29.07,68.2
56,29.09,69.0
57,29.1,69.4
58,29.12,70.3
59,29.15,71.0
60,29.17,71.9
61,29.2,72.7
62,29.22,73.6
63,29.24,74.2
64,29.26,75.0
65,29.28,75.6
66,29.3,76.2
67,29.31,77.1
68,29.33,77.7
69,29.35,78.5
70,29.37,79.0
71,29.39,79.7
72,29.42,80.4
73,29.44,81.4
74,29.46,82.1
75,29.47,82.4
76,29.49,82.9
77,29.5,83.2
78,29.51,83.7
79,29.53,84.5
80,29.54,83.4
81,29.61,79.9
82,29.72,78.3
83,29.84,79.7
84,30.02,80.6
85,30.12,81.2
86,30.18,81.5
87,30.22,81.6
88,30.23,81.4
89,30.24,81.0
90,30.24,80.6
91,30.25,80.7
92,30.27,81.5
93,30.29,82.3
94,30.31,83.4
95,30.33,84.1
96,30.36,84.7
97,30.38,84.8
98,30.4,85.1
99,30.43,85.4
100,30.45,85.7
101,30.46,85.9
102,30.48,85.9
103,30.5,86.1
104,30.51,86.5
105,30.53,86.9
106,30.55,87.3
107,30.57,87.5
108,30.58,87.5
109,30.6,87.7
110,30.62,88.0
111,30.65,88.8
112,30.68,89.3
113,30.71,89.3
114,30.75,89.0
115,30.77,88.9
116,30.81,89.1
117,30.83,89.5
118,30.87,89.8
119,30.89,89.9
120,30.92,90.0
121,30.94,89.9
122,30.95,89.7
123,30.96,89.7
124,30.98,89.9
125,30.99,90.1
126,30.98,89.8
127,30.97,88.8
128,30.96,87.3
129,30.95,85.9
130,30.95,85.3
131,30.93,84.4
132,30.91,83.0
133,30.87,79.7
134,30.83,77.7
135,30.8,75.0
136,30.76,71.0
137,30.72,68.4
138,30.67,64.3
139,30.61,61.4
140,30.55,56.8
141,30.48,53.8
142,30.41,50.4
143,30.34,46.0
144,30.26,43.7
145,30.2,39.8
146,30.08,36.3
147,30.0,33.9
148,29.89,29.9
149,29.78,27.4
150,29.67,23.9
151,29.56,21.8
152,29.43,18.5
153,29.31,16.4
154,29.18,13.6
155,29.06,11.8
156,28.97,9.4
157,28.82,7.6
158,28.74,6.7
159,28.63,5.3
160,28.53,4.4
161,28.43,3.3
162,28.32,2.5
163,28.21,1.6
164,28.11,1.1
165,27.99,0.6
166,27.86,0.5
167,27.73,0.3
168,27.62,0.3
169,27.42,0.3
170,27.25,0.2
171,27.11,0.2
172,26.92,0.2
173,26.72,0.2
174,26.5,0.2
175,26.27,0.2
176,26.03,0.1
177,25.85,0.1
178,25.58,0.1
179,25.32,0.1
180,25.05,0.1
181,24.77,0.1
182,24.49,0.1
183,24.21,0.1
184,23.94,0.1
185,23.68,0.1
186,23.44,0.2
187,23.2,0.2
188,23.02,0.2
189,22.63,0.2
190,22.43,0.2
191,22.28,0.2
192,22.09,0.2
193,21.92,0.2
194,21.78,0.2
195,21.66,0.2
196,21.56,0.2
197,21.48,0.2
198,21.4,0.3
199,21.32,0.3
200,21.28,0.3
201,21.25,0.3
202,21.24,0.3
203,21.25,0.3
204,21.26,0.3
205,21.28,0.3
206,21.29,0.3
207,21.32,0.3
208,21.36,0.3
209,21.42,0.3
210,21.45,0.3
211,21.49,0.3
212,21.52,0.3
213,21.55,0.3
214,21.59,0.3
215,21.61,0.3
216,21.62,0.4
217,21.6,0.3
218,21.56,0.3
219,21.49,0.3
220,21.43,0.3
221,0.54,0.0
